,Image 1,Image 2,Similarity
1332,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7812875509262085
1276,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,0.7811294794082642
1132,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.7811219096183777
1184,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (15 of 37).jpg,0.7806633114814758
1219,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,0.780615508556366
122,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (11 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,0.780471920967102
128,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (11 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,0.7803937792778015
1347,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.7803303599357605
1322,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (33 of 37).jpg,0.7792561650276184
1209,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (4 of 37).jpg,0.7792226076126099
2,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (1 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (12 of 21).jpg,0.7791058421134949
1128,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,0.7781308889389038
